,eye_id,timestamp,topic,confidence,diameter_2d [px],diameter_3d [mm],timestamp_corrected
76543,0,1583864126.579358,pupil.0,0.9984628266786184,47.97978504750598,3.011442282368033,1.4751651287078857
76545,0,1583864126.587427,pupil.0,0.9676001932737142,47.89319085135703,3.0058793878269885,1.48323392868042
76547,0,1583864126.5954962,pupil.0,0.9404082589854328,48.01252100029701,3.0133561996838694,1.4913032054901123
76549,0,1583864126.603565,pupil.0,0.9991209860526936,47.895706839736995,3.00598416531169,1.4993720054626465
76551,0,1583864126.611634,pupil.0,0.9898486571386368,48.06360760010057,3.016549094697234,1.5074410438537598
76555,0,1583864126.627772,pupil.0,0.8048875860630993,47.42944587609397,2.976898697484056,1.5235791206359863
76559,0,1583864126.64391,pupil.0,0.9986390896949806,47.99995479774368,3.0126556863491327,1.5397169589996338
76561,0,1583864126.651979,pupil.0,0.9985337292572798,48.23572935327535,3.0275092972562403,1.547785997390747
76563,0,1583864126.660048,pupil.0,0.8340083904671503,47.93905393740736,3.008932555481856,1.5558550357818604
76565,0,1583864126.6681168,pupil.0,0.9976724176274724,48.060674757738724,3.016387233366487,1.5639238357543945
76567,0,1583864126.6761858,pupil.0,0.9989899675958124,48.004189828441284,3.0127624729861187,1.5719928741455078
76571,0,1583864126.692324,pupil.0,0.9986291373528025,48.130939299983204,3.0207177851917386,1.5881309509277344
76572,0,1583864126.700393,pupil.0,0.9985886515692356,48.18264888561522,3.0239402486498252,1.5961999893188477
76574,0,1583864126.708462,pupil.0,0.9987795343671726,48.11998016598081,3.020017041011485,1.604269027709961
76576,0,1583864126.7165306,pupil.0,0.9989954604765812,48.045684728941964,3.015343598723901,1.612337589263916
76578,0,1583864126.7245998,pupil.0,0.9931157330564814,47.985251474318474,3.0115080627739066,1.6204068660736084
76580,0,1583864126.7326686,pupil.0,0.9989556938007724,48.034280872858616,3.0146504559689222,1.6284756660461426
76582,0,1583864126.7407386,pupil.0,0.9539726661867236,47.941746733333495,3.0088443335325135,1.6365456581115723
76585,0,1583864126.748808,pupil.0,0.8834225146006914,47.87001718509224,3.004418790316922,1.6446149349212646
76586,0,1583864126.756877,pupil.0,0.9985140185470316,48.171000341702964,3.023245092037794,1.652683973312378
76589,0,1583864126.764946,pupil.0,0.9980839732008032,48.23174817051674,3.027132580140909,1.6607530117034912
76591,0,1583864126.773015,pupil.0,0.9985668614612064,48.099244921589616,3.0187327334619574,1.6688220500946045
76593,0,1583864126.7810838,pupil.0,0.9990458152921841,47.920866717955896,3.007554741765692,1.6768908500671387
76595,0,1583864126.7891526,pupil.0,0.9987468104237224,48.00075152179564,3.0125582460879063,1.6849596500396729
76597,0,1583864126.805291,pupil.0,0.9985275669958804,48.01910554756106,3.013675823811435,1.7010979652404785
76599,0,1583864126.81336,pupil.0,0.998891524257904,47.912412530489505,3.0069762279275163,1.7091670036315918
76601,0,1583864126.821429,pupil.0,0.99443828233232,47.82110837645929,3.0012769838442837,1.717236042022705
76602,0,1583864126.8294976,pupil.0,0.9988482173384908,47.90495633509961,3.006474901671951,1.7253046035766602
76604,0,1583864126.8375669,pupil.0,0.9987437658443584,47.801720021640136,3.000033069346193,1.7333738803863525
