block,exp_event,task,timestamp,trial
1,Image onset for trial 47 in block 1,Image onset,1575397877.994354,47
1,Adjust Task begins for trial 47 in block 1,Adjust task,1575397879.542062,47
1,Adjust Task ends for trial 47 in block 1,,1575397885.5937111,47
1,Ending trial 47 in block 1,End trial,1575397885.609938,47
1,Begin for trial 48 in block 1,Trial begins,1575397885.6111,48
1,Fixation dot begins for trial 48 in block 1,Fixation dot,1575397885.611291,48
1,Image onset for trial 48 in block 1,Image onset,1575397886.8121228,48
1,Adjust Task begins for trial 48 in block 1,Adjust task,1575397888.358834,48
1,Adjust Task ends for trial 48 in block 1,,1575397889.459989,48
1,Ending trial 48 in block 1,End trial,1575397889.4806201,48
1,Begin for trial 49 in block 1,Trial begins,1575397889.481889,49
1,Fixation dot begins for trial 49 in block 1,Fixation dot,1575397889.481982,49
1,Image onset for trial 49 in block 1,Image onset,1575397890.9949079,49
1,Adjust Task begins for trial 49 in block 1,Adjust task,1575397892.595445,49
1,Adjust Task ends for trial 49 in block 1,,1575397896.260801,49
1,Ending trial 49 in block 1,End trial,1575397896.2764318,49
1,Begin for trial 50 in block 1,Trial begins,1575397896.277571,50
1,Fixation dot begins for trial 50 in block 1,Fixation dot,1575397896.27776,50
1,Image onset for trial 50 in block 1,Image onset,1575397897.269879,50
1,Adjust Task begins for trial 50 in block 1,Adjust task,1575397898.8260128,50
1,Adjust Task ends for trial 50 in block 1,,1575397899.642612,50
1,Ending trial 50 in block 1,End trial,1575397899.658984,50
1,Begin for trial 51 in block 1,Trial begins,1575397899.659981,51
1,Fixation dot begins for trial 51 in block 1,Fixation dot,1575397899.660063,51
1,Image onset for trial 51 in block 1,Image onset,1575397900.6593258,51
1,Adjust Task begins for trial 51 in block 1,Adjust task,1575397902.247336,51
1,Adjust Task ends for trial 51 in block 1,,1575397904.475971,51
1,Ending trial 51 in block 1,End trial,1575397904.4924002,51
1,Begin for trial 52 in block 1,Trial begins,1575397904.4935381,52
1,Fixation dot begins for trial 52 in block 1,Fixation dot,1575397904.493902,52
1,Image onset for trial 52 in block 1,Image onset,1575397905.901797,52
1,Adjust Task begins for trial 52 in block 1,Adjust task,1575397907.459554,52
1,Adjust Task ends for trial 52 in block 1,,1575397911.3433652,52
1,Ending trial 52 in block 1,End trial,1575397911.359797,52
1,Begin for trial 53 in block 1,Trial begins,1575397911.3610082,53
1,Fixation dot begins for trial 53 in block 1,Fixation dot,1575397911.361165,53
1,Image onset for trial 53 in block 1,Image onset,1575397912.608182,53
1,Adjust Task begins for trial 53 in block 1,Adjust task,1575397914.159602,53
1,Adjust Task ends for trial 53 in block 1,,1575397916.641655,53
1,Ending trial 53 in block 1,End trial,1575397916.659743,53
1,Begin for trial 54 in block 1,Trial begins,1575397916.660738,54
1,Fixation dot begins for trial 54 in block 1,Fixation dot,1575397916.660873,54
1,Image onset for trial 54 in block 1,Image onset,1575397917.927878,54
1,Adjust Task begins for trial 54 in block 1,Adjust task,1575397919.476468,54
1,Adjust Task ends for trial 54 in block 1,,1575397922.059566,54
1,Ending trial 54 in block 1,End trial,1575397922.076627,54
1,Begin for trial 55 in block 1,Trial begins,1575397922.0776489,55
