stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
48.0,61.0,5.171854972839356,28.0,2.0,216.0,4.0,270.0,25.0,21.0,18.39090947224193,44.0,0.7570075682708493,10.07078655253103,3.8801677914150976
4.0,25.0,4.3149428367614755,29.0,2.0,270.0,130.0,54.0,146.0,16.0,24.767628998744676,22.0,3.5919611087747567,5.047866612314888,3.7732408193811238
130.0,146.0,6.118547201156616,30.0,2.0,54.0,132.0,242.0,131.0,-1.0,7.23792884677443,-2.0,-0.8262939878221599,6.531030064211138,4.882610381059319
132.0,131.0,7.731189012527466,31.0,2.0,242.0,73.0,296.0,44.0,-29.0,-28.130328906886398,59.0,0.1743688341639586,3.753269018672305,4.2568653406365575
73.0,44.0,5.0172903537750235,32.0,2.0,296.0,77.0,293.0,65.0,-12.0,-14.072278415938108,-4.0,-1.6125803206306253,5.207459461982629,5.562551530499038
30.0,82.0,5.816787004470825,34.0,2.0,262.0,23.0,352.0,31.0,8.0,3.394900545336789,7.0,2.6390291521910005,3.3356953083370717,5.544636370219458
23.0,31.0,3.3976628780364986,35.0,2.0,352.0,15.0,108.0,25.0,10.0,8.481242910350865,8.0,2.9260122318733583,6.816570606422023,5.319870534632892
15.0,25.0,14.842535257339478,36.0,2.0,108.0,60.0,205.0,28.0,-32.0,-27.744328257218562,-45.0,-0.6898886323806072,-1.7655061837266603,4.983885073849903
60.0,28.0,15.132965803146362,37.0,2.0,205.0,137.0,330.0,36.0,47.0,50.759941837321385,71.0,0.031237106851441893,4.947299863510764,5.768331469828655
137.0,36.0,8.322368860244751,38.0,2.0,330.0,135.0,184.0,115.0,-20.0,-13.898985763263617,2.0,0.8262939878221599,3.0880687149428585,6.244807205796664
135.0,115.0,7.104923963546753,39.0,2.0,184.0,97.0,41.0,102.0,5.0,-6.038474773457601,38.0,1.2903151638241155,6.42758801433887,5.113621082204285
97.0,102.0,11.03364610671997,40.0,2.0,41.0,34.0,144.0,35.0,1.0,-11.527799746806629,63.0,0.11237148977876484,-2.2173082993202167,5.2797322047223965
34.0,35.0,4.930159091949463,41.0,2.0,144.0,59.0,241.0,45.0,-14.0,-10.080203728800306,-25.0,-3.1681557799938145,5.662309684264076,3.5154629135824607
59.0,45.0,6.331079959869385,42.0,2.0,241.0,142.0,61.0,106.0,-36.0,-40.32718341904813,65.0,0.08806416301670601,8.50787424178302,0.4881951478562309
142.0,106.0,5.734443187713622,43.0,2.0,61.0,112.0,10.0,103.0,-9.0,-12.109439945251033,30.0,2.374632956153367,5.868664078021882,0.5703946572147094
112.0,103.0,2.7478768825531006,44.0,2.0,10.0,108.0,120.0,98.0,-10.0,-16.266977189725758,4.0,1.6125803206306253,5.644201080091077,3.176549768796398
108.0,98.0,6.566235780715942,45.0,2.0,120.0,72.0,247.0,88.0,16.0,17.53210123556898,36.0,1.5228696764258725,3.4946519328964074,1.0202209156346278
72.0,88.0,5.600872039794922,46.0,2.0,247.0,121.0,337.0,97.0,-24.0,-19.197639486958387,-49.0,-0.4721729364522492,7.0299160163244645,1.0782618447063852
121.0,97.0,6.849787950515747,47.0,2.0,337.0,84.0,279.0,91.0,7.0,-0.20193483837527282,37.0,1.403060863447679,2.444503288885548,-3.7270835430640896
84.0,91.0,4.93390703201294,48.0,2.0,279.0,144.0,190.0,114.0,-30.0,-37.43953210072612,-60.0,-0.15685445813194596,3.907598086010363,-4.3312800567256025
144.0,114.0,4.632201910018921,49.0,2.0,190.0,78.0,32.0,73.0,-5.0,-7.842534527912385,66.0,0.07715829180062456,4.231141105325837,-2.6928362769056977
78.0,73.0,4.199681043624878,50.0,2.0,32.0,45.0,241.0,48.0,3.0,-4.487602375635042,33.0,1.9229910525156004,4.842963506906897,-1.277886389927406
45.0,48.0,7.9780328273773184,51.0,2.0,241.0,109.0,107.0,4.0,43.0,37.46985872595025,-64.0,-0.09976538557916811,8.664416875781713,-1.3055525050609542
109.0,4.0,2.884658098220825,52.0,2.0,107.0,25.0,296.0,35.0,10.0,3.5242905824300195,-64.0,-0.09976538557916811,2.2421081830582703,-0.8100444226363196
25.0,35.0,1.967101812362671,53.0,2.0,296.0,114.0,80.0,127.0,13.0,11.635233091728033,59.0,0.1743688341639586,2.201431478752678,4.499186976640616
114.0,127.0,5.283439159393311,54.0,2.0,80.0,27.0,44.0,21.0,-6.0,-14.352266396968723,-61.0,-0.14078219743881917,-1.1665871819735523,2.338511610533433
27.0,21.0,5.172008991241455,55.0,2.0,44.0,35.0,190.0,42.0,7.0,-5.649855845307847,-8.0,-2.9260122318733583,2.880024304627177,4.2439073270710415
35.0,42.0,3.6504518985748287,56.0,2.0,190.0,106.0,165.0,118.0,12.0,4.386653999059099,-71.0,-0.031237106851441893,6.173716928314251,4.2439073270710415
106.0,118.0,6.569916009902954,57.0,2.0,165.0,127.0,261.0,122.0,-5.0,3.4062534471150414,-21.0,-3.7104019917874242,6.470782402240296,4.2439073270710415
127.0,122.0,7.530617952346803,58.0,2.0,261.0,63.0,86.0,61.0,-2.0,2.7034078587156003,64.0,0.09976538557916811,9.326530896833962,4.472754141548865
63.0,61.0,14.26699686050415,59.0,2.0,86.0,140.0,193.0,48.0,56.0,55.11697427944029,71.0,0.031237106851441893,0.45891845867149167,4.43485637416206
140.0,48.0,5.753544807434082,60.0,2.0,193.0,117.0,291.0,123.0,6.0,7.339134478091928,23.0,3.460341805820796,8.07113917827129,4.9389933361664236
117.0,123.0,8.264934778213501,61.0,2.0,291.0,33.0,327.0,69.0,36.0,23.726753148832763,-64.0,-0.09976538557916811,0.5598618116697475,6.067354794951416
