peak_velocity,start_gx,type,sd,start_gy,amplitude,rms,end_time,end_gy,mean_gy,duration,blink_id,end_gx,mean_gx,start_time,end_point
,,blink,,,,,1575397770.4562602,,,,230.0,,,1575397770.1577053,
,,blink,,,,,1575397775.4590473,,,,231.0,,,1575397775.2694452,
,,blink,,,,,1575397776.2014203,,,,232.0,,,1575397776.0561779,
,,blink,,,,,1575397783.0843332,,,,233.0,,,1575397782.9189005,
,,blink,,,,,1575397789.4185312,,,,234.0,,,1575397789.2853768,
,,blink,,,,,1575397790.7498944,,,,235.0,,,1575397790.4957337,
,,blink,,,,,1575397794.5423722,,,,236.0,,,1575397794.368875,
,,blink,,,,,1575397800.0050933,,,,237.0,,,1575397799.8275843,
,,blink,,,,,1575397804.7981162,,,,238.0,,,1575397804.6730456,
,,blink,,,,,1575397806.4845467,,,,239.0,,,1575397806.3110623,
,,blink,,,,,1575397812.9075112,,,,240.0,,,1575397812.7259533,
,,blink,,,,,1575397819.2094324,,,,241.0,,,1575397819.0561213,
,,blink,,,,,1575397821.6543512,,,,242.0,,,1575397821.4970052,
,,blink,,,,,1575397829.6669164,,,,243.0,,,1575397829.4945388,
,,blink,,,,,1575397834.0102823,,,,244.0,,,1575397833.831654,
,,blink,,,,,1575397837.4062443,,,,245.0,,,1575397837.2690701,
,,blink,,,,,1575397842.7226372,,,,246.0,,,1575397842.5421963,
,,blink,,,,,1575397843.4943438,,,,247.0,,,1575397843.3813772,
,,blink,,,,,1575397844.2205586,,,,248.0,,,1575397843.7980464,
,,blink,,,,,1575397844.3779054,,,,249.0,,,1575397844.3144662,
,,blink,,,,,1575397847.7760913,,,,250.0,,,1575397847.6176298,
,,blink,,,,,1575397849.6026163,,,,251.0,,,1575397849.5340297,
,,blink,,,,,1575397853.5403142,,,,252.0,,,1575397853.4031403,
,,blink,,,,,1575397854.8746243,,,,253.0,,,1575397854.4884276,
,,blink,,,,,1575397859.0485623,,,,254.0,,,1575397858.8820262,
,,blink,,,,,1575397860.4099913,,,,255.0,,,1575397860.2295582,
,,blink,,,,,1575397865.8507752,,,,256.0,,,1575397865.708444,
,,blink,,,,,1575397866.5355222,,,,257.0,,,1575397866.3620377,
,,blink,,,,,1575397867.3706694,,,,258.0,,,1575397867.1528049,
,,blink,,,,,1575397872.1042943,,,,259.0,,,1575397871.9377527,
,,blink,,,,,1575397873.9337173,,,,260.0,,,1575397873.3256297,
,,blink,,,,,1575397874.4582052,,,,261.0,,,1575397874.0570052,
,,blink,,,,,1575397878.651204,,,,262.0,,,1575397878.4696503,
,,blink,,,,,1575397879.2200727,,,,263.0,,,1575397878.937656,
,,blink,,,,,1575397879.7445607,,,,264.0,,,1575397879.4984553,
,,blink,,,,,1575397891.8481393,,,,265.0,,,1575397891.7351723,
,,blink,,,,,1575397896.8117423,,,,266.0,,,1575397896.6371217,
,,blink,,,,,1575397904.9292123,,,,267.0,,,1575397904.6819663,
,,blink,,,,,1575397905.4162502,,,,268.0,,,1575397905.2669728,
,,blink,,,,,1575397906.1637783,,,,269.0,,,1575397906.017394,
,,blink,,,,,1575397911.7465653,,,,270.0,,,1575397911.5562997,
,,blink,,,,,1575397912.6496553,,,,271.0,,,1575397912.2462032,
,,blink,,,,,1575397917.0640693,,,,272.0,,,1575397916.8818717,
,,blink,,,,,1575397918.7505002,,,,273.0,,,1575397918.7101552,
,,blink,,,,,1575397922.6478512,,,,274.0,,,1575397922.4737232,
,,blink,,,,,1575397931.7968652,,,,275.0,,,1575397931.6159558,
,,blink,,,,,1575397932.6528287,,,,276.0,,,1575397932.309894,
,,blink,,,,,1575397934.9841392,,,,277.0,,,1575397934.8355064,
,,blink,,,,,1575397938.0342402,,,,278.0,,,1575397937.8492968,
,,blink,,,,,1575397945.4335573,,,,279.0,,,1575397945.2768564,
,,blink,,,,,1575397946.8698483,,,,280.0,,,1575397946.656664,
,,blink,,,,,1575397948.7835033,,,,281.0,,,1575397948.6301913,
,,blink,,,,,1575397952.3971462,,,,282.0,,,1575397952.1758933,
,,blink,,,,,1575397953.0023253,,,,283.0,,,1575397952.8456244,
,,blink,,,,,1575397957.2795672,,,,284.0,,,1575397957.1181865,
,,blink,,,,,1575397959.8138943,,,,285.0,,,1575397959.6316948,
,,blink,,,,,1575397969.4631844,,,,286.0,,,1575397969.2948542,
,,blink,,,,,1575397980.9777172,,,,287.0,,,1575397980.8053575,
,,blink,,,,,1575397984.3528314,,,,288.0,,,1575397984.2024279,
,,blink,,,,,1575397985.1839442,,,,289.0,,,1575397984.9972298,
,,blink,,,,,1575397991.2899613,,,,290.0,,,1575397991.1216397,
,,blink,,,,,1575397996.0852373,,,,291.0,,,1575397995.9186912,
,,blink,,,,,1575397997.3388443,,,,292.0,,,1575397997.1895666,
,,blink,,,,,1575398004.1168478,,,,293.0,,,1575398003.9917774,
,,blink,,,,,1575398005.7588997,,,,294.0,,,1575398005.6257606,
,,blink,,,,,1575398007.3092933,,,,295.0,,,1575398007.1023974,
,,blink,,,,,1575398009.2516632,,,,296.0,,,1575398008.4902744,
,,blink,,,,,1575398010.9916801,,,,297.0,,,1575398010.6931252,
,,blink,,,,,1575398018.6382463,,,,298.0,,,1575398018.455553,
,,blink,,,,,1575398020.2186408,,,,299.0,,,1575398019.7627397,
,,blink,,,,,1575398022.9793983,,,,300.0,,,1575398022.8289793,
,,blink,,,,,1575398025.0531452,,,,301.0,,,1575398024.8825529,
,,blink,,,,,1575398028.5447593,,,,302.0,,,1575398028.402969,
,,blink,,,,,1575398030.3845022,,,,303.0,,,1575398030.2548137,
,,blink,,,,,1575398035.6201394,,,,304.0,,,1575398035.4391732,
,,blink,,,,,1575398044.2955422,,,,305.0,,,1575398044.1658432,
,,blink,,,,,1575398047.0781713,,,,306.0,,,1575398046.9012482,
,,blink,,,,,1575398051.0158603,,,,307.0,,,1575398050.8591137,
,,blink,,,,,1575398056.7057383,,,,308.0,,,1575398056.503409,
,,blink,,,,,1575398060.6434343,,,,309.0,,,1575398060.4733777,
,,blink,,,,,1575398061.3004549,,,,310.0,,,1575398061.1350393,
,,blink,,,,,1575398067.2265542,,,,311.0,,,1575398067.0375443,
,,blink,,,,,1575398073.3878803,,,,312.0,,,1575398073.2426372,
,,blink,,,,,1575398074.7884762,,,,313.0,,,1575398074.6587548,
,,blink,,,,,1575398076.1198692,,,,314.0,,,1575398075.9746273,
,,blink,,,,,1575398076.8529153,,,,315.0,,,1575398076.5912902,
,,blink,,,,,1575398077.4102979,,,,316.0,,,1575398077.3820562,
,,blink,,,,,1575398077.5878167,,,,317.0,,,1575398077.4708157,
,,blink,,,,,1575398078.1365118,,,,318.0,,,1575398078.0477524,
,,blink,,,,,1575398079.9352872,,,,319.0,,,1575398079.8223202,
,,blink,,,,,1575398080.1866703,,,,320.0,,,1575398080.0321152,
,,blink,,,,,1575398080.5808094,,,,321.0,,,1575398080.4032912,
,,blink,,,,,1575398081.0891593,,,,322.0,,,1575398080.8886774,
,,blink,,,,,1575398081.3796442,,,,323.0,,,1575398081.2430928,
,,blink,,,,,1575398081.8960624,,,,324.0,,,1575398081.6344419,
,,blink,,,,,1575398082.6868284,,,,325.0,,,1575398082.5381742,
,,blink,,,,,1575398083.3981512,,,,326.0,,,1575398083.232112,
,,blink,,,,,1575398084.0504951,,,,327.0,,,1575398083.8776355,
,,blink,,,,,1575398086.1253762,,,,328.0,,,1575398085.9801333,
,,blink,,,,,1575398088.5300663,,,,329.0,,,1575398088.3927784,
,,blink,,,,,1575398089.4338002,,,,330.0,,,1575398089.2117858,
,,blink,,,,,1575398090.9062858,,,,331.0,,,1575398090.7691116,
,,blink,,,,,1575398091.8865583,,,,332.0,,,1575398091.5961888,
,,blink,,,,,1575398092.3464932,,,,333.0,,,1575398092.2134707,
,,blink,,,,,1575398093.2059636,,,,334.0,,,1575398093.0486174,
,,blink,,,,,1575398093.5610013,,,,335.0,,,1575398093.4480348,
,,blink,,,,,1575398094.3639894,,,,336.0,,,1575398094.2268152,
,,blink,,,,,1575398094.8239243,,,,337.0,,,1575398094.7109582,
,,blink,,,,,1575398095.6388984,,,,338.0,,,1575398095.4854684,
,,blink,,,,,1575398096.6798062,,,,339.0,,,1575398096.5343263,
,,blink,,,,,1575398099.0560212,,,,340.0,,,1575398098.9269161,
,,blink,,,,,1575398102.2716563,,,,341.0,,,1575398102.1101546,
,,blink,,,,,1575398105.7815697,,,,342.0,,,1575398105.6363277,
,,blink,,,,,1575398110.3001113,,,,343.0,,,1575398110.1790752,
,,blink,,,,,1575398115.7870593,,,,344.0,,,1575398115.6015983,
,,blink,,,,,1575398116.4648592,,,,345.0,,,1575398116.0776718,
,,blink,,,,,1575398118.5469272,,,,346.0,,,1575398118.4096262,
,,blink,,,,,1575398121.8227022,,,,347.0,,,1575398121.6493473,
,,blink,,,,,1575398126.8338404,,,,348.0,,,1575398126.6400518,
,,blink,,,,,1575398128.0965147,,,,349.0,,,1575398127.9956512,
,,blink,,,,,1575398128.3910346,,,,350.0,,,1575398128.249827,
,,blink,,,,,1575398130.2064373,,,,351.0,,,1575398130.0371203,
,,blink,,,,,1575398140.3252902,,,,352.0,,,1575398140.1557026,
,,blink,,,,,1575398141.4951644,,,,353.0,,,1575398141.3499212,
,,blink,,,,,1575398145.1183052,,,,354.0,,,1575398144.9301388,
,,blink,,,,,1575398149.8144913,,,,355.0,,,1575398149.6263278,
,,blink,,,,,1575398153.3245273,,,,356.0,,,1575398153.1686418,
,,blink,,,,,1575398155.1455598,,,,357.0,,,1575398154.959972,
,,blink,,,,,1575398163.6074293,,,,358.0,,,1575398163.4123054,
,,blink,,,,,1575398172.5127254,,,,359.0,,,1575398172.3649197,
,,blink,,,,,1575398186.5528703,,,,360.0,,,1575398186.380865,
,,blink,,,,,1575398187.6128762,,,,361.0,,,1575398187.4701872,
,,blink,,,,,1575398193.5164592,,,,362.0,,,1575398193.3525271,
,,blink,,,,,1575398197.3976712,,,,363.0,,,1575398197.1893623,
,,blink,,,,,1575398198.2948222,,,,364.0,,,1575398197.7622647,
,,blink,,,,,1575398200.3428743,,,,365.0,,,1575398200.1547394,
,,blink,,,,,1575398204.2967083,,,,366.0,,,1575398204.2010932,
,,blink,,,,,1575398205.9105172,,,,367.0,,,1575398205.5964317,
,,blink,,,,,1575398207.4678442,,,,368.0,,,1575398207.2747943,
,,blink,,,,,1575398208.4690137,,,,369.0,,,1575398208.1537132,
,,blink,,,,,1575398209.3398633,,,,370.0,,,1575398209.2200422,
,,blink,,,,,1575398212.7865622,,,,371.0,,,1575398212.5963323,
